make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
toyota,noah,Nairobi,silver,1310000,2013,Automatic,165000,Petrol,Foreign,4.5
nissan,note,Nairobi,Not-specified,635000,2012,Automatic,72000,Petrol,Foreign,4.333333333333333
nissan,note,Nairobi,silver,630000,2012,Automatic,144400,Petrol,Foreign,4.333333333333333
toyota,rav4,Nairobi,silver,1780000,2012,Automatic,87000,Petrol,Local,4.5
toyota,passo,Nairobi,silver,590000,2013,Automatic,95000,Petrol,Foreign,3
toyota,noah,Nairobi,silver,1310000,2013,Automatic,165000,Petrol,Foreign,4.5
nissan,march,Nairobi,silver,560000,2012,Automatic,62000,Petrol,Foreign,4.428571428571429
toyota,passo,Nairobi,silver,599000,2013,Automatic,85000,Petrol,Foreign,3
mitsubishi,mirage,Nairobi,red,630000,2013,Automatic,95000,Petrol,Foreign,3
toyota,probox,Nairobi,white,750000,2013,Automatic,121000,Petrol,Foreign,4.555555555555555
mazda,cx-5,Mombasa,black,2000000,2013,Automatic,128000,Diesel,Foreign,3.3333333333333335
subaru,forester,Mombasa,maroon,2700000,2014,Automatic,78000,Petrol,Foreign,4.636363636363637
subaru,xv,Mombasa,silver,1850000,2013,Automatic,107000,Petrol,Foreign,3
subaru,forester,Mombasa,maroon,2700000,2014,Automatic,78000,Petrol,Foreign,4.636363636363637
toyota,probox,Mombasa,maroon,900000,2013,Automatic,48000,Petrol,Foreign,4.555555555555555
subaru,impreza,Mombasa,white,2150000,2013,Automatic,84000,Petrol,Foreign,4.714285714285714
subaru,forester,Mombasa,black,2100000,2013,Automatic,103000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,white,2350000,2013,Automatic,117000,Petrol,Foreign,4.636363636363637
bmw,x1,Mombasa,red,1800000,2013,Automatic,68000,Petrol,Foreign,3.6666666666666665
mazda,demio,Mombasa,Not-specified,680000,2013,Automatic,109000,Petrol,Foreign,3.7142857142857144
subaru,impreza,Mombasa,Not-specified,1200000,2013,Automatic,58000,Petrol,Foreign,4.714285714285714
toyota,hilux,Mombasa,white,4500000,2015,Automatic,78000,Diesel,Foreign,4.2
audi,q7,Mombasa,black,6500000,2013,Automatic,68000,Diesel,Foreign,3
subaru,forester,Mombasa,silver,2100000,2013,Automatic,98000,Petrol,Foreign,4.636363636363637
subaru,forester,Mombasa,grey,2100000,2013,Automatic,100000,Petrol,Foreign,4.636363636363637
mazda,demio,Mombasa,green,700000,2013,Automatic,58000,Petrol,Foreign,3.7142857142857144
mazda,demio,Mombasa,maroon,730000,2013,Automatic,78000,Petrol,Foreign,3.7142857142857144
mitsubishi,rvr,Mombasa,black,1750000,2013,Automatic,38000,Petrol,Foreign,3
mercedes-benz,c200,Mombasa,black,1650000,2010,Automatic,78000,Petrol,Foreign,4.5
mazda,cx-5,Mombasa,black,2000000,2013,Automatic,85000,Petrol,Foreign,3.3333333333333335
suzuki,swift,Mombasa,white,750000,2013,Automatic,78000,Petrol,Foreign,3.6666666666666665
mazda,cx-5,Nairobi,black,1950000,2013,Automatic,57000,Petrol,Foreign,3.3333333333333335
mazda,cx-5,Nairobi,black,1950000,2013,Automatic,57000,Petrol,Foreign,3.3333333333333335
subaru,forester,Nairobi,black,2250000,2013,Automatic,71000,Petrol,Foreign,3
toyota,axio,Nairobi,blue,1080000,2013,Automatic,95000,Petrol,Foreign,3.6
subaru,forester,Nairobi,black,2150000,2013,Automatic,72000,Petrol,Foreign,4.636363636363637
mazda,demio,Nairobi,blue,665000,2013,Automatic,82000,Petrol,Foreign,3.7142857142857144
subaru,forester,Nairobi,black,2200000,2013,Automatic,132000,Petrol,Foreign,4.636363636363637
mazda,cx-5,Nairobi,red,2000000,2013,Automatic,53000,Petrol,Foreign,3.3333333333333335
nissan,sylphy,Nairobi,silver,1200000,2013,Automatic,11000,Petrol,Foreign,3
toyota,axio,Nairobi,pearl,1180000,2013,Automatic,26000,Petrol,Foreign,3.6
toyota,harrier,Nairobi,white,2850000,2012,Automatic,70000,Petrol,Foreign,4.6
mercedes-benz,c200,Nairobi,red,2400000,2013,Automatic,87000,Petrol,Foreign,3
subaru,legacy,Nairobi,Not-specified,1750000,2013,Automatic,44000,Petrol,Foreign,4.666666666666667
nissan,note,Nairobi,blue,680000,2013,Automatic,76000,Petrol,Foreign,4.333333333333333
nissan,note,Nairobi,pearl,690000,2013,Automatic,90000,Petrol,Foreign,4.333333333333333
toyota,ractis,Nairobi,silver,590000,2010,Automatic,110000,Petrol,Local,4.555555555555555
mitsubishi,outlander,Nairobi,white,2200000,2013,Automatic,98270,Petrol,Foreign,3.5
toyota,rav4,Nairobi,Not-specified,1300000,2007,Automatic,123000,Petrol,Local,4.5
mitsubishi,outlander,Nairobi,grey,2200000,2013,Automatic,85000,Petrol,Foreign,3.5
mitsubishi,rvr,Nairobi,Not-specified,1695000,2012,Automatic,57000,Petrol,Foreign,3
toyota,passo,Nairobi,silver,725000,2012,Automatic,43000,Petrol,Foreign,3
mitsubishi,outlander,Nairobi,silver,2350000,2014,Automatic,66000,Petrol,Foreign,3.5
nissan,sylphy,Nairobi,pearl,1085000,2013,Automatic,101000,Petrol,Foreign,3
honda,insight,Nairobi,silver,895000,2012,Automatic,78000,Hybrid,Foreign,3.3333333333333335
mazda,demio,Nairobi,blue,695000,2012,Automatic,76000,Petrol,Foreign,3.7142857142857144
volkswagen,tiguan,Nairobi,Not-specified,1935000,2011,Automatic,54000,Petrol,Foreign,3.3333333333333335
mazda,demio,Nairobi,blue,710000,2012,Automatic,51000,Petrol,Foreign,3.7142857142857144
toyota,noah,Nairobi,Not-specified,1490000,2012,Automatic,70600,Petrol,Foreign,4.5
toyota,vanguard,Nairobi,maroon,2350000,2012,Automatic,63000,Petrol,Foreign,3.3333333333333335
subaru,impreza,Nairobi,white,780000,2010,Automatic,57456,Petrol,Local,4.714285714285714
volkswagen,jetta,Nairobi,brown,1400000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
mitsubishi,lancer,Nairobi,red,2690000,2012,Automatic,98000,Petrol,Local,3
mercedes-benz,e350,Nairobi,grey,3400000,2012,Automatic,NA,Petrol,Foreign,3
mercedes-benz,a170,Nairobi,silver,760000,2009,Automatic,40488,Petrol,Foreign,3
toyota,rush,Nairobi,maroon,1750000,2013,Automatic,52826,Petrol,Foreign,3
toyota,porte,Nairobi,maroon,820000,2012,Automatic,NA,Petrol,Foreign,3
bmw,x3,Nairobi,grey,1300000,2007,Automatic,119250,Petrol,Local,3.6666666666666665
mitsubishi,pajero,Nairobi,silver,5400000,2019,Automatic,31785,Diesel,Brand,3
toyota,rav4,Nairobi,silver,685000,2002,Automatic,NA,Petrol,Local,4.5
bmw,x5,Nairobi,blue,2400000,2009,Automatic,NA,Petrol,Local,3
nissan,x-trail,Nairobi,black,1900000,2013,Automatic,79765,Petrol,Foreign,3.75
subaru,outback,Nairobi,red,2350000,2012,Automatic,74287,Petrol,Foreign,4.2
honda,cr-v,Nairobi,grey,2799999,2013,Automatic,85000,Petrol,Foreign,4.333333333333333
toyota,wish,Mombasa,white,1400000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
toyota,fielder,Mombasa,black,1230000,2013,Automatic,80000,Petrol,Foreign,4.6
toyota,vanguard,Mombasa,maroon,2300000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
mazda,cx-5,Mombasa,Not-specified,2300000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
nissan,x-trail,Mombasa,silver,1650000,2013,Automatic,NA,Petrol,Foreign,3.75
toyota,porte,Nairobi,maroon,820000,2012,Automatic,NA,Petrol,Foreign,3
bmw,x3,Nairobi,grey,1300000,2007,Automatic,119250,Petrol,Local,3.6666666666666665
mitsubishi,pajero,Nairobi,silver,5400000,2019,Automatic,31785,Diesel,Brand,3
toyota,rav4,Nairobi,silver,685000,2002,Automatic,NA,Petrol,Local,4.5
bmw,x5,Nairobi,blue,2400000,2009,Automatic,NA,Petrol,Local,3
nissan,x-trail,Nairobi,black,1900000,2013,Automatic,79765,Petrol,Foreign,3.75
subaru,outback,Nairobi,red,2350000,2012,Automatic,74287,Petrol,Foreign,4.2
honda,cr-v,Nairobi,grey,2799999,2013,Automatic,85000,Petrol,Foreign,4.333333333333333
toyota,wish,Mombasa,white,1400000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
toyota,fielder,Mombasa,black,1230000,2013,Automatic,80000,Petrol,Foreign,4.6
toyota,vanguard,Mombasa,maroon,2300000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
mazda,cx-5,Mombasa,Not-specified,2300000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
nissan,x-trail,Mombasa,silver,1650000,2013,Automatic,NA,Petrol,Foreign,3.75
toyota,vitz,Mombasa,maroon,830000,2013,Automatic,NA,Petrol,Foreign,4.733333333333333
toyota,harrier,Mombasa,black,3500000,2014,Automatic,NA,Petrol,Foreign,4.6
toyota,vitz,Mombasa,purple,750000,2012,Automatic,NA,Petrol,Foreign,4.733333333333333
nissan,x-trail,Mombasa,black,1750000,2013,Automatic,NA,Petrol,Foreign,3.75
nissan,patrol,Nairobi,white,5900000,2016,Manual,27000,Diesel,Local,3.3333333333333335
toyota,allion,Nairobi,silver,1090000,2010,Automatic,104000,Petrol,Local,4.555555555555555
toyota,allion,Nairobi,silver,1090000,2010,Automatic,104000,Petrol,Local,4.555555555555555
bmw,x5,Nairobi,pearl,3850000,2012,Automatic,49000,Petrol,Foreign,3
subaru,outback,Nairobi,black,1290000,2009,Automatic,95000,Petrol,Local,4.2
subaru,outback,Nairobi,Not-specified,1290000,2009,Automatic,98000,Petrol,Local,4.2
toyota,auris,Nairobi,pearl,1280000,2013,Automatic,NA,Petrol,Foreign,3
mercedes-benz,ml350,Nairobi,white,3800000,2012,Automatic,79000,Diesel,Local,3
mazda,demio,Nairobi,red,720000,2013,Automatic,67111,Petrol,Foreign,3.7142857142857144
honda,stream,Nairobi,silver,1280000,2013,Automatic,76000,Petrol,Foreign,4
toyota,rush,Nairobi,Not-specified,1450000,2012,Automatic,19969,Petrol,Foreign,3
toyota,succeed,Nairobi,silver,980000,2015,Automatic,86329,Petrol,Foreign,3.6666666666666665
toyota,noah,Nairobi,grey,1150000,2009,Automatic,132829,Petrol,Local,4.5
toyota,harrier,Nairobi,black,2100000,2012,Automatic,102026,Petrol,Local,4.6
suzuki,sx,Nairobi,pearl,920000,2013,Automatic,26000,Petrol,Foreign,3
toyota,ractis,Nairobi,blue,870000,2013,Automatic,16000,Petrol,Foreign,4.555555555555555
toyota,harrier,Nairobi,black,3290000,2014,Automatic,114000,Petrol,Foreign,4.6
mercedes-benz,c200,Nairobi,pearl,1830000,2011,Automatic,53000,Petrol,Foreign,4.5
toyota,fielder,Nairobi,silver,1130000,2012,Automatic,54000,Petrol,Foreign,4.6
toyota,noah,Nairobi,Not-specified,780000,2007,Automatic,154000,Petrol,Local,4.5
honda,fit,Nairobi,blue,785000,2013,Automatic,73000,Petrol,Foreign,4.666666666666667
mercedes-benz,e350,Nairobi,white,3600000,2013,Automatic,66000,Petrol,Foreign,3
mercedes-benz,gle,Nairobi,Not-specified,8950000,2015,Unknown,48061,Diesel,Local,3
jeep,cherokee,Nairobi,black,5650000,2014,Automatic,34000,Diesel,Foreign,3
honda,cr-v,Nairobi,white,2450000,2013,Automatic,78000,Petrol,Foreign,4.333333333333333
nissan,march,Nairobi,white,599999,2013,Automatic,43000,Petrol,Foreign,3
mitsubishi,outlander,Nairobi,white,1899999,2012,Automatic,50000,Petrol,Foreign,3.5
toyota,fielder,Nairobi,pearl,1335000,2013,Automatic,77000,Petrol,Foreign,4.6
audi,q3,Nairobi,pearl,2499999,2014,Automatic,55000,Petrol,Foreign,3
toyota,fielder,Nairobi,black,1330000,2013,Automatic,76000,Petrol,Foreign,4.6
toyota,fielder,Nairobi,silver,1210000,2013,Automatic,92000,Petrol,Foreign,4.6
toyota,fj,Mombasa,black,3500000,2013,Automatic,76000,Petrol,Foreign,3
toyota,caldina,Nairobi,white,389000,1998,Automatic,125000,Petrol,Local,4.428571428571429
volkswagen,polo,Nairobi,silver,349000,2007,Manual,123000,Petrol,Local,3.6666666666666665
volvo,xc90,Nairobi,gold,2799000,2012,Automatic,78000,Petrol,Foreign,3
daihatsu,mira,Nairobi,silver,549000,2013,Automatic,90000,Petrol,Foreign,3
toyota,fielder,Nairobi,white,1129000,2013,Automatic,89000,Petrol,Foreign,4.6
volkswagen,passat,Nairobi,black,899000,2008,Manual,115000,Diesel,Local,3
mitsubishi,colt,Nairobi,white,479000,2011,Automatic,89000,Petrol,Local,3
toyota,axio,Nairobi,white,1029000,2013,Automatic,12000,Petrol,Foreign,3.6
nissan,pick-up,Nairobi,white,949000,2013,Automatic,98000,Petrol,Foreign,3.6666666666666665
toyota,auris,Nairobi,blue,639000,2007,Automatic,85000,Petrol,Local,4.333333333333333
mazda,demio,Nairobi,grey,699000,2013,Automatic,83000,Petrol,Foreign,3.7142857142857144
audi,a3,Nairobi,white,1550000,2013,Automatic,50000,Petrol,Foreign,3.6666666666666665
nissan,teana,Nairobi,silver,999000,2012,Automatic,98000,Petrol,Foreign,3.6666666666666665
nissan,tiida,Nairobi,white,779000,2013,Automatic,101652,Petrol,Foreign,4.428571428571429
toyota,ractis,Nairobi,Not-specified,449000,2007,Automatic,118000,Petrol,Local,4.555555555555555
toyota,axio,Nairobi,white,699000,2009,Automatic,NA,Petrol,Local,3.6
toyota,aqua,Nairobi,purple,899000,2013,Automatic,112000,Hybrid,Foreign,3
mazda,premacy,Nairobi,white,549000,2009,Automatic,145000,Petrol,Local,3
mitsubishi,mirage,Nairobi,silver,619000,2013,Automatic,64000,Petrol,Foreign,3
volkswagen,polo,Nairobi,black,899000,2013,Automatic,92000,Petrol,Foreign,3.6666666666666665
mazda,axela,Nairobi,white,949000,2013,Automatic,98000,Petrol,Foreign,3.3333333333333335
nissan,wingroad,Nairobi,silver,679000,2012,Automatic,97000,Petrol,Foreign,3.8333333333333335
mercedes-benz,ml350,Nairobi,black,5950000,2013,Automatic,NA,Petrol,Foreign,3
toyota,ractis,Nairobi,blue,870000,2013,Automatic,16000,Petrol,Foreign,4.555555555555555
toyota,harrier,Nairobi,black,3290000,2014,Automatic,114000,Petrol,Foreign,4.6
mercedes-benz,c200,Nairobi,pearl,1830000,2011,Automatic,53000,Petrol,Foreign,4.5
toyota,fielder,Nairobi,silver,1130000,2012,Automatic,54000,Petrol,Foreign,4.6
toyota,noah,Nairobi,Not-specified,780000,2007,Automatic,154000,Petrol,Local,4.5
honda,fit,Nairobi,blue,785000,2013,Automatic,73000,Petrol,Foreign,4.666666666666667
mercedes-benz,e350,Nairobi,white,3600000,2013,Automatic,66000,Petrol,Foreign,3
mercedes-benz,gle,Nairobi,Not-specified,8950000,2015,Unknown,48061,Diesel,Local,3
jeep,cherokee,Nairobi,black,5650000,2014,Automatic,34000,Diesel,Foreign,3
honda,cr-v,Nairobi,white,2450000,2013,Automatic,78000,Petrol,Foreign,4.333333333333333
nissan,march,Nairobi,white,599999,2013,Automatic,43000,Petrol,Foreign,4.428571428571429
mitsubishi,outlander,Nairobi,white,1899999,2012,Automatic,50000,Petrol,Foreign,3.5
toyota,fielder,Nairobi,pearl,1335000,2013,Automatic,77000,Petrol,Foreign,4.6
audi,q3,Nairobi,pearl,2499999,2014,Automatic,55000,Petrol,Foreign,3
toyota,fielder,Nairobi,black,1330000,2013,Automatic,76000,Petrol,Foreign,4.6
toyota,fielder,Nairobi,silver,1210000,2013,Automatic,92000,Petrol,Foreign,4.6
toyota,fj,Mombasa,black,3500000,2013,Automatic,76000,Petrol,Foreign,3
volkswagen,polo,Nairobi,silver,349000,2007,Manual,123000,Petrol,Local,3.6666666666666665
volvo,xc90,Nairobi,gold,2799000,2012,Automatic,78000,Petrol,Foreign,3
daihatsu,mira,Nairobi,silver,549000,2013,Automatic,90000,Petrol,Foreign,3
toyota,fielder,Nairobi,white,1129000,2013,Automatic,89000,Petrol,Foreign,4.6
volkswagen,passat,Nairobi,black,899000,2008,Manual,115000,Diesel,Local,3
mitsubishi,colt,Nairobi,white,479000,2011,Automatic,89000,Petrol,Local,3
toyota,axio,Nairobi,white,1029000,2013,Automatic,12000,Petrol,Foreign,3.6
nissan,pick-up,Nairobi,white,949000,2013,Automatic,98000,Petrol,Foreign,3.6666666666666665
toyota,auris,Nairobi,blue,639000,2007,Automatic,85000,Petrol,Local,4.333333333333333
mazda,demio,Nairobi,grey,699000,2013,Automatic,83000,Petrol,Foreign,3.7142857142857144
audi,a3,Nairobi,white,1550000,2013,Automatic,50000,Petrol,Foreign,3.6666666666666665
nissan,teana,Nairobi,silver,999000,2012,Automatic,98000,Petrol,Foreign,3.6666666666666665
nissan,tiida,Nairobi,white,779000,2013,Automatic,101652,Petrol,Foreign,4.428571428571429
toyota,ractis,Nairobi,Not-specified,449000,2007,Automatic,118000,Petrol,Local,4.555555555555555
toyota,axio,Nairobi,white,699000,2009,Automatic,NA,Petrol,Local,3.6
toyota,aqua,Nairobi,purple,899000,2013,Automatic,112000,Hybrid,Foreign,3
mazda,premacy,Nairobi,white,549000,2009,Automatic,145000,Petrol,Local,3.5
mitsubishi,mirage,Nairobi,silver,619000,2013,Automatic,64000,Petrol,Foreign,3
volkswagen,polo,Nairobi,black,899000,2013,Automatic,92000,Petrol,Foreign,3.6666666666666665
mazda,axela,Nairobi,white,949000,2013,Automatic,98000,Petrol,Foreign,3.3333333333333335
nissan,wingroad,Nairobi,silver,679000,2012,Automatic,97000,Petrol,Foreign,3.8333333333333335
mercedes-benz,ml350,Nairobi,black,5950000,2013,Automatic,NA,Petrol,Foreign,3
subaru,outback,Nairobi,white,2650000,2014,Automatic,NA,Petrol,Foreign,4.2
mitsubishi,outlander,Nairobi,brown,2500000,2013,Automatic,NA,Petrol,Foreign,3.5
toyota,hilux,Nairobi,gold,3500000,2014,Manual,NA,Diesel,Foreign,4.2
toyota,rav4,Nairobi,white,1300000,2007,Automatic,NA,Petrol,Local,4.5
subaru,forester,Nairobi,silver,2450000,2013,Automatic,NA,Petrol,Foreign,4.636363636363637
mercedes-benz,c200,Nairobi,black,2080000,2012,Automatic,NA,Petrol,Foreign,4.5
toyota,land,Nairobi,white,15800000,2017,Automatic,195,Petrol,Brand,4.555555555555555
toyota,wish,Nairobi,maroon,1450000,2013,Automatic,NA,Petrol,Foreign,3.6666666666666665
toyota,premio,Nairobi,Not-specified,1750000,2014,Automatic,NA,Petrol,Foreign,4.764705882352941
subaru,outback,Nairobi,gold,3700000,2015,Automatic,NA,Petrol,Foreign,4.2
toyota,allion,Nairobi,Not-specified,1580000,2013,Automatic,NA,Other,Foreign,4.555555555555555
bmw,x3,Nairobi,gold,3150000,2014,Automatic,NA,Other,Foreign,3.6666666666666665
toyota,axio,Nairobi,Not-specified,1180000,2013,Automatic,NA,Petrol,Foreign,3
ford,ranger,Nairobi,white,4300000,2014,Automatic,NA,Diesel,Foreign,4
mercedes-benz,e250,Nairobi,white,3500000,2012,Automatic,NA,Petrol,Foreign,3
toyota,premio,Nairobi,Not-specified,1670000,2013,Automatic,NA,Petrol,Foreign,4.764705882352941
subaru,legacy,Nairobi,red,1550000,2013,Automatic,68900,Petrol,Foreign,4.666666666666667
subaru,legacy,Nairobi,black,1520000,2013,Automatic,639000,Petrol,Foreign,4.666666666666667
toyota,land,Nairobi,Not-specified,2995000,2008,Manual,147000,Diesel,Local,4.555555555555555
jeep,cherokee,Nairobi,black,2850000,2011,Automatic,108000,Petrol,Foreign,3
mazda,cx-5,Nairobi,blue,1780000,2012,Automatic,89000,Diesel,Foreign,3.3333333333333335
volkswagen,touareg,Nairobi,Not-specified,1950000,2008,Automatic,102000,Diesel,Local,3
audi,q3,Nairobi,white,2750000,2013,Automatic,80000,Petrol,Foreign,3
toyota,rav4,Nairobi,Not-specified,2450000,2013,Automatic,48000,Petrol,Foreign,4.5
toyota,hilux,Nairobi,Not-specified,2150000,2008,Automatic,118000,Diesel,Local,4.2
mitsubishi,pajero,Nairobi,silver,1350000,2006,Automatic,118000,Petrol,Local,4
mercedes-benz,e250,Nairobi,beige,3850000,2013,Automatic,68000,Petrol,Foreign,3
bmw,x5,Nairobi,silver,1350000,2006,Automatic,86000,Diesel,Local,3
bmw,5,Nairobi,white,1550000,2009,Automatic,94000,Petrol,Local,3
audi,q3,Nairobi,white,2850000,2013,Automatic,67000,Petrol,Foreign,3
toyota,succeed,Nairobi,white,615000,2008,Automatic,128000,Petrol,Local,3.6666666666666665
toyota,hilux,Nairobi,silver,5850000,2016,Automatic,31000,Diesel,Foreign,4.2
toyota,vitz,Nairobi,white,589000,2011,Automatic,115000,Petrol,Local,4.733333333333333
toyota,harrier,Nairobi,Not-specified,1390000,2008,Automatic,NA,Petrol,Local,4.6
subaru,forester,Nairobi,red,780000,2006,Automatic,175000,Petrol,Local,4.636363636363637
toyota,sprinter,Nairobi,silver,349000,1998,Automatic,198000,Petrol,Local,3
toyota,premio,Nairobi,silver,790000,2006,Automatic,120000,Petrol,Local,4.764705882352941
toyota,allion,Nairobi,silver,750000,2007,Automatic,120000,Petrol,Local,4.555555555555555
mazda,cx-5,Nairobi,Not-specified,2150000,2013,Automatic,70000,Diesel,Foreign,3.3333333333333335
mercedes-benz,e250,Nairobi,white,3850000,2013,Automatic,50000,Petrol,Foreign,3
bmw,x5,Nairobi,pearl,2450000,2008,Automatic,87000,Petrol,Local,3
toyota,harrier,Mombasa,maroon,3400000,2014,Automatic,64000,Petrol,Foreign,4.6
toyota,passo,Nairobi,white,580000,2012,Automatic,NA,Petrol,Foreign,3
nissan,note,Nairobi,silver,650000,2013,Automatic,NA,Petrol,Foreign,4.333333333333333
toyota,wish,Nairobi,black,1370000,2013,Automatic,NA,Petrol,Foreign,3
subaru,forester,Nairobi,silver,1899000,2013,Automatic,NA,Petrol,Foreign,4.636363636363637
subaru,forester,Nairobi,silver,1899000,2013,Automatic,NA,Petrol,Foreign,4.636363636363637
subaru,forester,Nairobi,silver,1850000,2013,Automatic,NA,Petrol,Foreign,4.636363636363637
toyota,hilux,Mombasa,white,3950000,2013,Automatic,56000,Petrol,Foreign,4.2
honda,fit,Mombasa,orange,680000,2013,Automatic,56000,Petrol,Foreign,3
honda,cr-v,Nairobi,white,2200000,2012,Automatic,76000,Petrol,Foreign,4.333333333333333
toyota,hilux,Nairobi,white,2100000,2008,Manual,114000,Diesel,Local,4.2
toyota,prius,Nairobi,silver,1380000,2013,Automatic,141000,Petrol,Foreign,3
subaru,trezia,Mombasa,silver,840000,2013,Automatic,60000,Petrol,Foreign,3
mercedes-benz,c200,Nairobi,brown,2650000,2013,Automatic,20000,Petrol,Foreign,4.5
toyota,noah,Mombasa,grey,1600000,2013,Automatic,68000,Petrol,Foreign,4.5
toyota,belta,Nairobi,silver,630000,2011,Automatic,89000,Petrol,Local,4.636363636363637
mercedes-benz,a180,Nairobi,silver,1850000,2013,Automatic,40000,Petrol,Foreign,3
nissan,note,Mombasa,silver,680000,2013,Automatic,54000,Petrol,Foreign,3
mercedes-benz,cla-class,Nairobi,silver,3100000,2013,Automatic,55000,Petrol,Foreign,3
mercedes-benz,e250,Nairobi,black,3300000,2013,Automatic,55000,Petrol,Foreign,3
mazda,demio,Nairobi,blue,620000,2011,Automatic,71,Petrol,Local,3.7142857142857144
toyota,wish,Nairobi,black,1355000,2013,Automatic,72,Petrol,Foreign,3.6666666666666665
subaru,forester,Nairobi,black,2255000,2013,Automatic,88000,Petrol,Foreign,4.636363636363637
mitsubishi,mirage,Nairobi,silver,720000,2013,Automatic,79000,Petrol,Foreign,3
subaru,forester,Nairobi,Not-specified,2265000,2013,Automatic,89,Petrol,Foreign,4.636363636363637
toyota,fielder,Nairobi,black,1255000,2013,Automatic,84,Petrol,Foreign,4.6
suzuki,vitara,Nairobi,white,1795000,2012,Automatic,23000,Petrol,Foreign,3
toyota,harrier,Nairobi,gold,750000,2002,Automatic,172000,Petrol,Local,4.6
subaru,outback,Nairobi,silver,1695000,2011,Automatic,87000,Petrol,Local,4.2
volkswagen,tiguan,Nairobi,white,2195000,2013,Automatic,66000,Petrol,Local,3.3333333333333335
volkswagen,golf,Nairobi,silver,1250000,2013,Automatic,51000,Petrol,Foreign,3.6
volkswagen,golf,Nairobi,blue,1190000,2012,Automatic,60000,Petrol,Foreign,3.6
subaru,forester,Nairobi,red,2250000,2012,Automatic,94000,Petrol,Local,4.636363636363637
volkswagen,polo,Nairobi,gold,1290000,2017,Automatic,23000,Petrol,Local,3.6666666666666665
subaru,outback,Nairobi,white,1550000,2010,Automatic,110000,Petrol,Local,4.2
audi,q5,Nairobi,Not-specified,2475000,2010,Automatic,112000,Petrol,Local,3
audi,q5,Nairobi,black,2295000,2011,Automatic,87000,Petrol,Local,3
audi,q5,Nairobi,black,2295000,2010,Automatic,84000,Petrol,Local,3
subaru,outback,Nairobi,gold,3595000,2015,Automatic,52125,Petrol,Foreign,4.2
toyota,harrier,Nairobi,silver,795000,2001,Automatic,171000,Petrol,Local,4.6
mitsubishi,rvr,Nairobi,brown,1750000,2013,Automatic,29000,Petrol,Foreign,3
toyota,land,Nairobi,Not-specified,2700000,2005,Automatic,112000,Petrol,Local,4.555555555555555
toyota,avensis,Nairobi,silver,850000,2010,Manual,126000,Diesel,Local,3.6
toyota,porte,Nairobi,blue,780000,2013,Automatic,89541,Petrol,Foreign,3
volkswagen,passat,Nairobi,grey,1740000,2013,Automatic,75431,Petrol,Foreign,3
volkswagen,touareg,Nairobi,white,3600000,2012,Automatic,79004,Petrol,Local,3
mitsubishi,mirage,Nairobi,red,590000,2013,Automatic,63172,Petrol,Brand,3
nissan,x-trail,Nairobi,silver,2250000,2014,Automatic,512007,Petrol,Foreign,3.75
nissan,dualis,Nairobi,grey,1200000,2011,Automatic,95411,Petrol,Local,3.6666666666666665
subaru,forester,Nairobi,silver,1430000,2010,Automatic,115433,Petrol,Local,4.636363636363637
toyota,fielder,Nairobi,white,1330000,2014,Automatic,75431,Petrol,Foreign,4.6
mercedes-benz,c180,Nairobi,grey,2450000,2013,Automatic,52017,Petrol,Foreign,3.6666666666666665
subaru,forester,Nairobi,black,2000000,2013,Automatic,87311,Petrol,Foreign,4.636363636363637
nissan,note,Nairobi,grey,660000,2013,Automatic,100422,Petrol,Foreign,4.333333333333333
mitsubishi,mirage,Nairobi,black,600000,2013,Automatic,83228,Petrol,Foreign,3
toyota,vanguard,Nairobi,white,1830000,2011,Automatic,78443,Petrol,Foreign,3.3333333333333335
mazda,demio,Nairobi,white,530000,2011,Automatic,100784,Petrol,Local,3.7142857142857144
honda,fit,Nairobi,black,650000,2012,Automatic,101255,Petrol,Local,3
toyota,wish,Nairobi,maroon,1000000,2011,Automatic,98521,Petrol,Local,3.6666666666666665
toyota,land,Nairobi,black,8800000,2014,Automatic,52140,Petrol,Foreign,4.555555555555555
mercedes-benz,e250,Nairobi,white,4250000,2014,Automatic,74515,Petrol,Foreign,3
nissan,patrol,Nairobi,blue,2850000,2007,Manual,121339,Diesel,Local,3.3333333333333335
toyota,premio,Nairobi,black,1320000,2011,Automatic,98521,Petrol,Local,4.764705882352941
jeep,wrangler,Nairobi,Not-specified,8400000,2016,Automatic,9712,Petrol,Foreign,3
ford,escape,Nairobi,white,1480000,2011,Automatic,35807,Other,Local,3
toyota,premio,Nairobi,Not-specified,870000,2008,Automatic,112000,Petrol,Local,4.764705882352941
mercedes-benz,e250,Nairobi,Not-specified,2000000,2010,Automatic,98000,Petrol,Local,3
toyota,ractis,Nairobi,Not-specified,680000,2012,Automatic,98000,Petrol,Local,4.555555555555555
nissan,bluebird,Nairobi,Not-specified,499999,2008,Automatic,136000,Petrol,Local,4
