,make,price,details
3737,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,350,000 ",  Mombasa  Automatic  Silver 74000 km   Foreign Used 2013 Petrol 
3738,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,000,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3739,  2013  Toyota Wish     4 (4 Reviews)   ," KSh1,400,000 ",  Mombasa  Automatic  Black Foreign Used 2013 Petrol 
3740,  2015 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh5,300,000 ",  Mombasa  Automatic  Foreign Used 2015 Petrol 
3741,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,200,000 ",  Mombasa  Automatic  Black Foreign Used 2013 Petrol 
3742,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,199,999 ",  Mombasa  Automatic  White 80000 km   Foreign Used 2013 Petrol 
3743,  2013 Mitsubishi Galant 2.0 Sport     4 (2 Reviews)   ," KSh1,700,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
3744,  2013 Mercedes-Benz C200 Kompressor     5 (6 Reviews)   ," KSh2,250,000 ",  Mombasa  Automatic  37000 km   Foreign Used 2013 Petrol 
3745,  2013 Nissan Tiida     5 (5 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  Grey Foreign Used 2013 Petrol 
3746,  2013 Nissan X-Trail     4 (6 Reviews)   ," KSh2,000,000 ",  Mombasa  Automatic  Black Foreign Used 2013 Petrol 
3747,  2014 Toyota Succeed     5 (1 Review)   ," KSh999,999 ",  Mombasa  Automatic  Black 70000 km   Foreign Used 2014 Petrol 
3748,  2013 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,349,999 ",  Mombasa  Automatic  Black 34000 km   Foreign Used 2013 Petrol 
3749,  2012 Subaru XV 2.0i AWD  ," KSh1,900,000 ",  Mombasa  Automatic  Red 43000 km   Foreign Used 2012 Petrol 
3750,  2012 Toyota Aqua  ," KSh950,000 ",  Mombasa  Automatic  Black 149000 km   Foreign Used 2012 Petrol 
3751,  2012 Toyota Rush High Grade AT     3 (1 Review)   ," KSh1,550,000 ",  Mombasa  Automatic  Maroon 46000 km   Foreign Used 2012 Petrol 
3752,  2012 Toyota Noah     5 (6 Reviews)   ," KSh1,580,000 ",  Mombasa  Silver Foreign Used 2012 
3753,  2013 Subaru Outback     5 (3 Reviews)   ," KSh2,200,000 ",  Mombasa  Foreign Used 2013 
3754,   2012 Toyota Aqua  ," KSh1,000,000 ",  Mombasa  Black Foreign Used 2012 
3755,  2012 Toyota GT1  ," KSh2,400,000 ",  Mombasa  Automatic  Orange Foreign Used 2012 
3756,  2012 BMW 116i  ," KSh1,300,000 ",  Mombasa  Foreign Used 2012 Petrol 
3757,  2012 Mercedes-Benz C180     5 (1 Review)   ," KSh2,300,000 ",  Mombasa  Foreign Used 2012 
3758,  2011 BMW 320i  ," KSh1,750,000 ",  Mombasa  Foreign Used 2011 
3759,  2012 Subaru Impreza      5 (12 Reviews)   ," KSh1,150,000 ",  Mombasa  Foreign Used 2012 
3760,  2013 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh850,000 ",  Mombasa  Automatic  Black 99850 km   Foreign Used 2013 Petrol 
3761,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh835,000 ",  Mombasa  Automatic  Pink 66500 km   Foreign Used 2013 Petrol 
3762,  2013 Toyota Allion A15     5 (7 Reviews)   ," KSh1,420,000 ",  Mombasa  Automatic  Pearl 85000 km   Foreign Used 2013 Petrol 
3763,  2013 Subaru Outback 2.5i Premium CVT     5 (3 Reviews)   ," KSh2,150,000 ",  Mombasa  Automatic  Pearl 119800 km   Foreign Used 2013 Petrol 
3764,  2013 Toyota Wish     4 (4 Reviews)   ," KSh1,420,000 ",  Mombasa  Automatic  Orange 87700 km   Foreign Used 2013 Petrol 
3765,  2013 Subaru Trezia  ," KSh920,000 ",  Mombasa  Automatic  Black 82800 km   Foreign Used 2013 Petrol 
3766,  Nissan Note     5 (4 Reviews)   ," KSh730,000 ",  Mombasa  Automatic  Dark Grey Foreign Used Petrol 
