,make,price,details
0,  2013 Mazda Demio     4 (5 Reviews)   ," KSh600,000 ",  Nairobi  Automatic  Silver 135000 km   Foreign Used 2013 Petrol 
1,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Silver 72000 km   Foreign Used 2013 Petrol 
2,  2013 Mercedes-Benz CLA-Class  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
3,  2012 Land Rover Freelander 2.0 Xdi  ," KSh2,200,000 ",  Nairobi  Automatic  Green 81000 km   Foreign Used 2012 Petrol 
4,  2013 Mercedes-Benz CLA-Class  ," KSh3,600,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
5,  2013 Mazda Axela Sport     4 (1 Review)   ," KSh1,050,000 ",  Mombasa  Automatic  Black 58000 km   Foreign Used 2013 Petrol 
6,  2013 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,650,000 ",  Mombasa  Automatic  Black 74000 km   Foreign Used 2013 Petrol 
7,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,600,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
8,  2013 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,380,000 ",  Mombasa  Automatic  White 87000 km   Foreign Used 2013 Petrol 
9,  2014 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,200,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
10,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Black 127000 km   Foreign Used 2014 Petrol 
11,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,700,000 ",  Mombasa  Automatic  Pearl 85236 km   Foreign Used 2013 Petrol 
12,  2013 Mitsubishi Outlander 2.4     4 (2 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
13,  2013 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  Grey 144434 km   Foreign Used 2013 Petrol 
14,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh1,940,000 ",  Nairobi  Automatic  Black 130000 km   Foreign Used 2013 Diesel 
15,  2014 Honda CR-V 2.4 EX 4x4 Automatic     5 (4 Reviews)   ," KSh2,725,000 ",  Nairobi  Automatic  Grey 104000 km   Foreign Used 2014 Petrol 
16,  2015 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  Black 1 km   Foreign Used 2015 Petrol 
17,  2013 Honda CR-V 2.0 i     5 (4 Reviews)   ," KSh2,350,000 ",  Nairobi  Automatic  Black 97000 km   Foreign Used 2013 Petrol 
18,  1985 Mercedes-Benz 190E  ," KSh490,000 ",  Nairobi  Automatic  Grey 150000 km   Locally Used 1985 Petrol 
19,  2013 Toyota Raum     4 (3 Reviews)   ," KSh890,000 ",  Mombasa  Automatic  Black 68000 km   Foreign Used 2013 Petrol 
20,  2013 Mitsubishi RVR 2.0     3 (1 Review)   ," KSh1,650,000 ",  Mombasa  Automatic  Black 74000 km   Foreign Used 2013 Petrol 
21,  2014 Toyota Harrier     5 (8 Reviews)   ," KSh3,600,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
22,  2013 Toyota Allion 1.8     5 (7 Reviews)   ," KSh1,380,000 ",  Mombasa  Automatic  White 87000 km   Foreign Used 2013 Petrol 
23,  2014 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,200,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2014 Petrol 
24,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Black 127000 km   Foreign Used 2014 Petrol 
25,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,700,000 ",  Mombasa  Automatic  Pearl 85236 km   Foreign Used 2013 Petrol 
26,  2013 Mitsubishi Outlander 2.4     4 (2 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Silver 1 km   Foreign Used 2013 Petrol 
27,  2013 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh1,200,000 ",  Mombasa  Automatic  Grey 144434 km   Foreign Used 2013 Petrol 
28,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh1,940,000 ",  Nairobi  Automatic  Black 130000 km   Foreign Used 2013 Diesel 
29,  2014 Honda CR-V 2.4 EX 4x4 Automatic     5 (4 Reviews)   ," KSh2,725,000 ",  Nairobi  Automatic  Grey 104000 km   Foreign Used 2014 Petrol 
30,  2015 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,500,000 ",  Mombasa  Automatic  Black 1 km   Foreign Used 2015 Petrol 
31,  2013 Honda CR-V 2.0 i     5 (4 Reviews)   ," KSh2,350,000 ",  Nairobi  Automatic  Black 97000 km   Foreign Used 2013 Petrol 
32,  1985 Mercedes-Benz 190E  ," KSh490,000 ",  Nairobi  Automatic  Grey 150000 km   Locally Used 1985 Petrol 
33,  2013 Toyota Raum     4 (3 Reviews)   ," KSh890,000 ",  Mombasa  Automatic  Black 68000 km   Foreign Used 2013 Petrol 
34,  2013 Nissan Note     5 (4 Reviews)   ," KSh675,000 ",  Nairobi  Automatic  Black 56000 km   Foreign Used 2013 Petrol 
35,  2012 Toyota Belta     5 (9 Reviews)   ," KSh870,000 ",  Nairobi  Automatic  Silver 104000 km   Foreign Used 2012 Petrol 
36,  2015 Toyota Probox     5 (7 Reviews)   ," KSh820,000 ",  Mombasa  Automatic  Silver 87000 km   Foreign Used 2015 Petrol 
37,  2012 Toyota bB  ," KSh700,000 ",  Nairobi  Automatic  Maroon 79000 km   Foreign Used 2012 Petrol 
38,  2013 Mercedes-Benz E350  ," KSh2,850,000 ",  Nairobi  Automatic  Silver 124000 km   Foreign Used 2013 Petrol 
39,  2013 Nissan March      5 (5 Reviews)   ," KSh550,000 ",  Nairobi  Automatic  White 42000 km   Foreign Used 2013 Petrol 
40,  2011 Honda Insight 1.3     4 (1 Review)   ," KSh630,000 ",  Nairobi  Automatic  Silver 74000 km   Locally Used 2011 Petrol 
41,  2012 Honda CR-V 2.4     5 (4 Reviews)   ," KSh2,050,000 ",  Nairobi  Automatic  Silver 69000 km   Foreign Used 2012 Petrol 
42,  2012 Mazda Demio 1.3     4 (5 Reviews)   ," KSh550,000 ",  Nairobi  Automatic  Blue Foreign Used 2012 Petrol 
43,  2012 Toyota Mark X Rio     5 (6 Reviews)   ," KSh1,450,000 ",  Mombasa  Automatic  1 km   Foreign Used 2012 Petrol 
44,  2013 Toyota RAV4 2.0 4x4     5 (6 Reviews)   ," KSh2,550,000 ",  Nairobi  Automatic  Pearl 72650 km   Foreign Used 2013 Petrol 
45,  2013 Toyota Axio     4 (3 Reviews)   ," KSh520,813 ",  Nairobi  Automatic  White 65000 km   Foreign Used 2013 Petrol 
46,  2013 Toyota Probox     5 (7 Reviews)   ," KSh390,610 ",  Nairobi  Automatic  White 121000 km   Foreign Used 2013 Petrol 
47,  2013 Toyota Passo 1.3L  ," KSh620,000 ",  Mombasa  Automatic  Maroon 67000 km   Foreign Used 2013 Petrol 
48,  2012 Suzuki Escudo     4 (2 Reviews)   ," KSh1,770,000 ",  Nairobi  Automatic  Black 64000 km   Foreign Used 2012 Petrol 
49,  2013 Mercedes-Benz C200 CGI     5 (6 Reviews)   ," KSh2,250,000 ",  Mombasa  Automatic  Black 57000 km   Foreign Used 2013 Petrol 
50,  2013 Toyota Probox     5 (7 Reviews)   ," KSh650,000 ",  Nairobi  Automatic  White 97300 km   Locally Used 2013 Petrol 
51,  2010 Mazda Demio 1.3     4 (5 Reviews)   ," KSh485,000 ",  Nairobi  Automatic  Silver 1 km   Locally Used 2010 Petrol 
52,  2013 Mercedes-Benz E250  ," KSh2,850,000 ",  Mombasa  Automatic  Black 54000 km   Foreign Used 2013 Petrol 
53,  2013 Mazda CX-5 AWD     4 (1 Review)   ," KSh1,900,000 ",  Mombasa  Automatic  Grey 87000 km   Foreign Used 2013 Petrol 
54,  2013 Honda Stepwagon  ," KSh1,280,000 ",  Nairobi  Automatic  Maroon 101106 km   Foreign Used 2013 Petrol 
55,  2013 Mazda CX-5 AWD     4 (1 Review)   ," KSh1,870,000 ",  Mombasa  Automatic  Black 8500 km   Foreign Used 2013 Diesel 
56,  2011 Toyota Hilux     5 (3 Reviews)   ," KSh2,200,000 ",  Nairobi  Manual  White Foreign Used 2011 Diesel 
57,  2013 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh760,000 ",  Mombasa  Automatic  Silver 54000 km   Foreign Used 2013 Petrol 
58,  2006 Toyota Raum     4 (3 Reviews)   ," KSh560,000 ",  Nairobi  Automatic  Green 1 km   Locally Used 2006 Petrol 
59,  2012 Mazda Demio     4 (5 Reviews)   ," KSh545,000 ",  Nairobi  Automatic  Maroon 85000 km   Locally Used 2012 Petrol 
60,  2012 Volvo S60 1.6 T4  ," KSh1,450,000 ",  Nairobi  Automatic  Black 70825 km   Foreign Used 2012 Petrol 
61,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,350,000 ",  Mombasa  Automatic  Black 80000 km   Foreign Used 2013 Petrol 
62,  2013 Volkswagen Tiguan 2.0 SE 4Motion     4 (1 Review)   ," KSh1,950,000 ",  Mombasa  Automatic  Dark Blue 85000 km   Foreign Used 2013 Petrol 
63,  2010 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh3,500,000 ",  Nairobi  Automatic  Pearl 142 km   Locally Used 2010 Diesel 
64,  2013 Daihatsu Mira  ," KSh555,000 ",  Nairobi  Automatic  White 131000 km   Foreign Used 2013 Petrol 
65,  2010 Honda CR-V 2.0 4WD     5 (4 Reviews)   ," KSh1,500,000 ",  Nairobi  Automatic  Silver Locally Used 2010 Petrol 
66,  2010 Toyota Porte  ," KSh500,000 ",  Nairobi  Automatic  Blue Locally Used 2010 Petrol 
67,  2008 Nissan Navara 2.5 Automatic  ," KSh1,250,000 ",  Nairobi  Automatic  Grey Locally Used 2008 Petrol 
68,  2003 Toyota Hilux 2.5     5 (3 Reviews)   ," KSh730,000 ",  Nairobi  Manual  White Locally Used 2003 Diesel 
69,  2005 Toyota Premio     5 (15 Reviews)   ," KSh730,000 ",  Nairobi  Automatic  Gold Locally Used 2005 Petrol 
70,  2010 Mitsubishi Colt 1.3 5 Door  ," KSh460,000 ",  Nairobi  Automatic  Silver Locally Used 2010 Other 
71,  2013 Audi A4 2.0T Premium Quattro Automatic     4 (1 Review)   ," KSh2,400,000 ",  Mombasa  Automatic  Grey 59194 km   Foreign Used 2013 Petrol 
72,  2013 Nissan Note 1.4     5 (4 Reviews)   ," KSh690,000 ",  Nairobi  Automatic  Maroon 93000 km   Foreign Used 2013 Petrol 
73,  2013 Toyota Fortuner 3.0 D-4D 4x4     5 (2 Reviews)   ," KSh3,750,000 ",  Nairobi  Automatic  White 67000 km   Foreign Used 2013 Diesel 
74,  2013 Subaru Forester 2.0 AWD     5 (9 Reviews)   ," KSh2,170,000 ",  Nairobi  Automatic  Silver 87000 km   Foreign Used 2013 Petrol 
75,  2013 Subaru Forester 2.0 AWD     5 (9 Reviews)   ," KSh2,240,000 ",  Nairobi  Automatic  Black 88000 km   Foreign Used 2013 Petrol 
76,  2013 Toyota Fortuner 3.0 D-4D 4x4     5 (2 Reviews)   ," KSh3,950,000 ",  Nairobi  Automatic  White 68000 km   Foreign Used 2013 Diesel 
77,  2009 Honda CR-V     5 (4 Reviews)   ," KSh1,450,000 ",  Nairobi  Automatic  Black 127000 km   Locally Used 2009 Petrol 
78,  2015 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh6,850,000 ",  Nairobi  Automatic  Pearl 34000 km   Foreign Used 2015 Diesel 
79,  2013 Subaru Forester 2.0 AWD     5 (9 Reviews)   ," KSh2,200,000 ",  Nairobi  Automatic  Dark Blue 88000 km   Foreign Used 2013 Petrol 
80,  2013 Subaru Forester 2.0 AWD     5 (9 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  Gold 50000 km   Foreign Used 2013 Petrol 
81,  2013 Subaru Forester 2.0 AWD     5 (9 Reviews)   ," KSh2,130,000 ",  Nairobi  Automatic  Pearl 71000 km   Foreign Used 2013 Petrol 
82,  2013 Toyota Hilux 2.5 D-4D Double Cab 4x4 SRX     5 (3 Reviews)   ," KSh3,100,000 ",  Nairobi  Manual  Black 100000 km   Foreign Used 2013 Diesel 
83,  2009 Nissan X-Trail     4 (6 Reviews)   ," KSh1,200,000 ",  Nairobi  Automatic  Black 75000 km   Locally Used 2009 Petrol 
84,  2010 Nissan X-Trail     4 (6 Reviews)   ," KSh1,150,000 ",  Nairobi  Automatic  Silver 75000 km   Locally Used 2010 Petrol 
85,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,180,000 ",  Nairobi  Automatic  White 67000 km   Foreign Used 2013 Petrol 
86,  2013 Toyota Wish     4 (4 Reviews)   ,"  KSh1,320,000 ",  Nairobi  Automatic  Black 71000 km   Foreign Used 2013 Petrol 
87,  2013 Mazda CX-5     4 (1 Review)   ," KSh1,950,000 ",  Nairobi  Automatic  Dark Grey 76521 km   Foreign Used 2013 Diesel 
88,  1998 Toyota T100  ," KSh320,000 ",  Nairobi  Manual  Grey Locally Used 1998 Petrol 
89,  2012 Toyota Wish     4 (4 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Blue Locally Used 2012 Petrol 
90,  1997 Honda CR-V 2.0     5 (4 Reviews)   ," KSh450,000 ",  Nairobi  Manual  Green Locally Used 1997 Petrol 
91,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,350,000 ",  Mombasa  Automatic  62761 km   Foreign Used 2013 Petrol 
92,  2013 Mitsubishi Galant Fortis     4 (2 Reviews)   ," KSh1,250,000 ",  Mombasa  Automatic  Silver 101235 km   Foreign Used 2013 Petrol 
93,  2008 Toyota Axio     4 (3 Reviews)   ," KSh720,000 ",  Nairobi  Automatic  White Locally Used 2008 Petrol 
94,  2013 Volkswagen Tiguan 1.4 TSI     4 (1 Review)   ," KSh1,980,000 ",  Mombasa  Automatic  Silver 86000 km   Foreign Used 2013 Petrol 
95,  2013 Audi A1  ," KSh1,450,000 ",  Mombasa  Automatic  Pearl 1 km   Foreign Used 2013 Petrol 
96,  2013 BMW 116i Exclusive  ," KSh1,300,000 ",  Mombasa  Automatic  White 56000 km   Foreign Used 2013 Petrol 
97,  2013 Mazda CX-5     4 (1 Review)   ," KSh1,850,000 ",  Mombasa  Automatic  Black 79000 km   Foreign Used 2013 Diesel 
98,  2011 Lexus LX 570     5 (2 Reviews)   ,"KSh5,900,000",  Nairobi  Automatic  76000 km   Foreign Used 2011 Petrol 
99,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,100,000 ",  Nairobi  Automatic  Black 63000 km   Foreign Used 2013 Petrol 
100,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,100,000 ",  Nairobi  Automatic  Red 88000 km   Foreign Used 2013 Petrol 
101,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,100,000 ",  Nairobi  Automatic  Grey 121000 km   Foreign Used 2013 Petrol 
102,  2013 Volkswagen Passat 1.4 TSI BlueMotion Estate     3 (1 Review)   ," KSh1,550,000 ",  Mombasa  Automatic  Silver 117048 km   Foreign Used 2013 Petrol 
103,  2013 Honda CR-V     5 (4 Reviews)   ," KSh2,050,000 ",  Mombasa  Automatic  Black 87000 km   Foreign Used 2013 Petrol 
104,  2013 Audi Q3  ," KSh2,700,000 ",  Nairobi  Automatic  Dark Blue 91000 km   Foreign Used 2013 Petrol 
105,  2012 Ford Escape Limited 4WD  ," KSh1,750,000 ",  Nairobi  Automatic  White 85000 km   Foreign Used 2012 Petrol 
106,  2013 Subaru XV 2.0i-S Eyesight  ," KSh1,850,000 ",  Nairobi  Automatic  White 104000 km   Foreign Used 2013 Petrol 
107,  2013 Nissan Sylphy  ," KSh1,180,000 ",  Nairobi  Automatic  Red 119000 km   Foreign Used 2013 Petrol 
108,  2012 Subaru Outback     5 (3 Reviews)   ," KSh2,100,000 ",  Nairobi  Automatic  Silver 111000 km   Foreign Used 2012 Petrol 
109,  2013 Mercedes-Benz C250  ," KSh2,400,000 ",  Nairobi  Automatic  White 44000 km   Foreign Used 2013 Petrol 
110,  2008 Mercedes-Benz C200 Kompressor     5 (6 Reviews)   ," KSh1,450,000 ",  Nairobi  Automatic  White 129000 km   Locally Used 2008 Petrol 
111,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh2,100,000 ",  Nairobi  Automatic  Grey 77000 km   Foreign Used 2013 Diesel 
112,  2011 Honda Fit Automatic     5 (10 Reviews)   ," KSh690,000 ",  Nairobi  Automatic  Black 86000 km   Locally Used 2011 Petrol 
113,  2012 Mercedes-Benz E350  ," KSh3,650,000 ",  Nairobi  Automatic  Silver 99000 km   Foreign Used 2012 Diesel 
114,  2011 Toyota Harrier     5 (8 Reviews)   ," KSh2,600,000 ",  Nairobi  Automatic  Black 99000 km   Foreign Used 2011 Petrol 
115,  2012 Peugeot 3008  ," KSh1,550,000 ",  Nairobi  Automatic  Red 56000 km   Foreign Used 2012 Petrol 
116,  2012 Toyota Harrier     5 (8 Reviews)   ," KSh2,800,000 ",  Nairobi  Automatic  Black 65000 km   Foreign Used 2012 Petrol 
117,  2007 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh1,950,000 ",  Nairobi  Automatic  Silver 201000 km   Locally Used 2007 Petrol 
118,  2012 Toyota Rush     3 (1 Review)   ," KSh1,550,000 ",  Nairobi  Automatic  Dark Green 90000 km   Foreign Used 2012 Petrol 
119,  2014 Toyota RAV4 2.0     5 (6 Reviews)   ," KSh3,200,000 ",  Nairobi  Automatic  Silver 52000 km   Foreign Used 2014 Diesel 
120,  2014 Toyota RAV4 2.0     5 (6 Reviews)   ," KSh3,200,000 ",  Nairobi  Automatic  Silver 52000 km   Foreign Used 2014 Diesel 
121,  2010 Toyota Land Cruiser 100 VX 4.2 4x4     5 (7 Reviews)   ," KSh4,000,000 ",  Nairobi  Manual  White 63000 km   Foreign Used 2010 Diesel 
122,  2009 Land Rover Discovery III     3 (1 Review)   ," KSh2,500,000 ",  Nairobi  Automatic  Gold 259000 km   Locally Used 2009 Diesel 
123,  2011 Jeep Wrangler  ," KSh3,700,000 ",  Nairobi  Automatic  Black 119000 km   Foreign Used 2011 Petrol 
124,  2013 Mazda CX-5 2WD     4 (1 Review)   ," KSh1,950,000 ",  Nairobi  Automatic  Red 111000 km   Foreign Used 2013 Petrol 
125,  2013 Honda Fit Automatic     5 (10 Reviews)   ," KSh750,000 ",  Mombasa  Automatic  1 km   Foreign Used 2013 Petrol 
126,  2013 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh4,800,000 ",  Nairobi  Automatic  Black 57000 km   Foreign Used 2013 Petrol 
127,  2012 Toyota Ractis     5 (7 Reviews)   ," KSh775,000 ",  Nairobi  Automatic  Black 103000 km   Foreign Used 2012 Petrol 
128,  2008 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ,"KSh1,935,000",  Nairobi  Automatic  178000 km   Locally Used 2008 Petrol 
129,  2014 Volkswagen Golf 1.2Tsi     4 (3 Reviews)   ," KSh1,650,000 ",  Mombasa  Automatic  Black 90000 km   Foreign Used 2014 Petrol 
130,  2009 Toyota Mark X Zio     5 (6 Reviews)   ," KSh780,000 ",  Nairobi  Automatic  Silver 232000 km   Foreign Used 2009 Petrol 
131,  2012 Toyota Vanguard     4 (1 Review)   ," KSh2,480,000 ",  Nairobi  Automatic  Pearl 47994 km   Foreign Used 2012 Petrol 
132,  2013 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh4,250,000 ",  Nairobi  Foreign Used 2013 
133,  2012 Volkswagen Passat 2.0 TDI BlueMotion Estate     3 (1 Review)   ,"KSh1,400,000",  Nairobi  Manual  Blue 170150 km   Locally Used 2012 Diesel 
134,  2013 Land Rover Range Rover Evoque 2.0 Si4  ," KSh5,150,000 ",  Nairobi  Automatic  Pearl 98000 km   Foreign Used 2013 Petrol 
135,  2008 Toyota Land Cruiser 200 V8 4.7     5 (7 Reviews)   ," KSh4,300,000 ",  Nairobi  Locally Used 2008 
136,  2012 Nissan March     5 (5 Reviews)   ," KSh510,000 ",  Nairobi  Automatic  Purple 105 km   Foreign Used 2012 Petrol 
137,  2008 Nissan Dualis     5 (1 Review)   ," KSh1,250,000 ",  Nairobi  Automatic  Gold 82123 km   Locally Used 2008 Petrol 
138,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,030,000 ",  Thika  Automatic  White 33400 km   Foreign Used 2013 Petrol 
139,  2012 Lexus RX 270     5 (3 Reviews)   ," KSh3,170,000 ",  Nairobi  Automatic  White Foreign Used 2012 Other 
140,  2012 Toyota Passo  ," KSh550,000 ",  Nairobi  Automatic  Silver 76392 km   Locally Used 2012 Petrol 
141,  2013 BMW X1 2.0 DPF     5 (1 Review)   ," KSh1,930,000 ",  Nairobi  Automatic  Black 94000 km   Foreign Used 2013 Petrol 
142,  2012 Mazda Premacy 2.0 Automatic     4 (2 Reviews)   ," KSh859,000 ",  Nairobi  Automatic  Dark Blue 113000 km   Foreign Used 2012 Petrol 
143,  2012 Toyota Crown Royal 2.5     5 (3 Reviews)   ," KSh1,500,000 ",  Nairobi  Automatic  Silver 116000 km   Foreign Used 2012 Petrol 
144,  2010 BMW X6 xDrive 35i  ," KSh2,800,000 ",  Nairobi  Automatic  Pearl 96000 km   Locally Used 2010 Petrol 
145,  2012 Audi A7 3.0 TFSI  ," KSh3,650,000 ",  Nairobi  Automatic  Dark Grey 143000 km   Foreign Used 2012 Petrol 
146,  2013 Nissan juke     3 (1 Review)   ," KSh1,255,000 ",  Nairobi  Automatic  Red 36000 km   Foreign Used 2013 Petrol 
147,  2013 Audi A8 2.0 h  ," KSh5,500,000 ",  Nairobi  Automatic  Pearl 92000 km   Foreign Used 2013 Petrol 
148,  2012 Mazda Demio     4 (5 Reviews)   ," KSh579,999 ",  Nairobi  Automatic  Green 62000 km   Foreign Used 2012 Petrol 
149,  2014 Mitsubishi Outlander 2.0 DI-D     4 (2 Reviews)   ," KSh1,980,000 ",  Nairobi  Automatic  White Foreign Used 2014 Petrol 
150,  2013 Mitsubishi EK  ," KSh500,000 ",  Mombasa  Automatic  Foreign Used 2013 Petrol 
151,  2013 Suzuki Alto     5 (3 Reviews)   ," KSh525,000 ",  Nairobi  Foreign Used 2013 
152,  2013 Toyota Harrier     5 (8 Reviews)   ," KSh2,950,000 ",  Nairobi  Automatic  Pearl 65114 km   Foreign Used 2013 Petrol 
153,  2012 Toyota Mark X     5 (6 Reviews)   ," KSh1,400,000 ",  Nairobi  Automatic  Black 87000 km   Foreign Used 2012 Petrol 
154,  2012 Toyota Fielder     5 (8 Reviews)   ," KSh980,000 ",  Nairobi  Automatic  Silver 71000 km   Foreign Used 2012 Petrol 
155,  2012 Mercedes-Benz E200     5 (3 Reviews)   ," KSh1,950,000 ",  Nairobi  Automatic  Silver 65000 km   Foreign Used 2012 Petrol 
156,  2012 Toyota Premio     5 (15 Reviews)   ," KSh1,350,000 ",  Nairobi  Automatic  Black 61222 km   Foreign Used 2012 Petrol 
157,  2012 Toyota Vanguard     4 (1 Review)   ," KSh1,850,000 ",  Nairobi  Automatic  Black 81000 km   Foreign Used 2012 Petrol 
158,  2013 Nissan Bluebird     5 (2 Reviews)   ," KSh1,200,000 ",  Nairobi  Automatic  Red 93600 km   Foreign Used 2013 Petrol 
159,  2010 Mazda Premacy 2.0 Automatic     4 (2 Reviews)   ," KSh800,000 ",  Nairobi  Automatic  Black 86000 km   Locally Used 2010 Petrol 
160,  2013 Toyota Vitz     5 (13 Reviews)   ," KSh685,000 ",  Nairobi  Automatic  Black 100000 km   Foreign Used 2013 Petrol 
161,  2008 Toyota Passo  ," KSh480,000 ",  Nairobi  Automatic  Red 128309 km   Foreign Used 2008 Petrol 
162,  2010 Toyota Belta     5 (9 Reviews)   ," KSh530,000 ",  Nairobi  Automatic  Green 119000 km   Locally Used 2010 Petrol 
163,  2013 Subaru Forester     5 (9 Reviews)   ," KSh2,000,000 ",  Nairobi  Automatic  Silver 100000 km   Foreign Used 2013 Petrol 
164,  2013 Subaru Legacy     5 (10 Reviews)   ," KSh1,495,000 ",  Nairobi  Automatic  Pearl 100000 km   Foreign Used 2013 Petrol 
165,  2013 Nissan Advan     4 (2 Reviews)   ," KSh580,000 ",  Eldoret  Automatic  Silver 63000 km   Foreign Used 2013 Petrol 
166,  2008 Nissan X-Trail 2.0 Petrol XE     4 (6 Reviews)   ,"  KSh950,000 ",  Nairobi  Automatic  Black 168000 km   Locally Used 2008 Petrol 
167,  2009 Lexus RX 350     5 (3 Reviews)   ," KSh1,900,000 ",  Nairobi  Locally Used 2009 
168,  2013 Mazda Demio 1.3     4 (5 Reviews)   ," KSh590,000 ",  Nairobi  Automatic  White Locally Used 2013 Petrol 
169,  2012 Honda Fit Automatic     5 (10 Reviews)   ," KSh760,000 ",  Nairobi  Automatic  Silver 140000 km   Foreign Used 2012 Petrol 
170,  2003 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh1,150,000 ",  Nairobi  Manual  Gold Locally Used 2003 Diesel 
171,  2011 Toyota Wish     4 (4 Reviews)   ," KSh1,100,000 ",  Nairobi  Automatic  Silver Locally Used 2011 Petrol 
172,  2013 Toyota Passo   ," KSh570,000 ",  Mombasa  Automatic  Pearl 90000 km   Foreign Used 2013 Petrol 
173,  2011 Audi Q7  ," KSh3,900,000 ",  Nakuru  Automatic  Black 90000 km   Locally Used 2011 Diesel 
174,  2009 Toyota ISIS     5 (1 Review)   ," KSh830,000 ",  Nairobi  Automatic  Silver 192000 km   Locally Used 2009 Petrol 
175,  2005 Volkswagen Touareg 2.5 R5 TDi  ," KSh1,600,000 ",  Nairobi  Automatic  Green 180000 km   Locally Used 2005 Diesel 
176,   2010 Volkswagen Golf 1.4 Tsi     4 (3 Reviews)   ," KSh850,000 ",  Nairobi  Automatic  Dark Blue 121000 km   Locally Used 2010 Petrol 
177,  2011 Nissan Note 1.4 16v     5 (4 Reviews)   ," KSh600,000 ",  Nairobi  Automatic  Silver 107370 km   Locally Used 2011 Petrol 
178,  2012 Toyota Rumion  ," KSh970,000 ",  Nairobi  Automatic  92400 km   Foreign Used 2012 Petrol 
179,  2011 Honda Insight Hybrid     4 (1 Review)   ," KSh650,000 ",  Nairobi  Automatic  Silver 90000 km   Locally Used 2011 Petrol 
180,  2014 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,200,000 ",  Nairobi  Automatic  Black 57000 km   Locally Used 2014 Petrol 
181,  2012 Toyota Vitz     5 (13 Reviews)   ," KSh600,000 ",  Nairobi  Automatic  Grey 120000 km   Locally Used 2012 Petrol 
182,  2011 Honda Insight 1.3     4 (1 Review)   ," KSh630,000 ",  Nairobi  Automatic  Grey 170000 km   Locally Used 2011 Petrol 
183,  2007 Isuzu D-MAX     5 (2 Reviews)   ," KSh930,000 ",  Nairobi  Manual  White 314000 km   Locally Used 2007 Diesel 
184,  2011 Nissan Advan     4 (2 Reviews)   ," KSh560,000 ",  Nairobi  Automatic  Silver 107000 km   Locally Used 2011 Petrol 
185,  2012 Kia Sportage 2.0 4x4 Automatic  ," KSh2,300,000 ",  Nairobi  Automatic  Silver 110300 km   Foreign Used 2012 Diesel 
186,  2008 Nissan Sylphy  ," KSh610,000 ",  Nairobi  Automatic  Silver 92000 km   Locally Used 2008 Petrol 
